route,takeoff_s,uav_id,battery_id
1,2656,U01,A-B02
2,300,U07,C-B01
3,300,U01,A-B01
4,4516,U08,C-B02
5,300,U05,B-B01
6,300,U02,A-B02
7,300,U03,A-B03
8,4270,U05,B-B02
9,2680,U04,A-B03
10,1150,U05,B-B03
11,2315,U03,A-B06
12,2643,U06,B-B04
13,325,U06,B-B02
14,4394,U06,B-B03
15,1555,U07,C-B03
16,300,U08,C-B02
17,3726,U07,C-B01
18,300,U04,A-B04
19,1871,U02,A-B05
20,4259,U02,A-B04
21,1592,U08,C-B04
22,3631,U04,A-B01
23,2702,U05,B-B01
