route,start_offset_s,end_offset_s,site_mask
1,455.776685248359,458.728808013212,6
1,458.728808013212,463.156992160493,7
1,463.156992160493,518.223260379532,6
1,518.223260379532,825.626027179459,2
1,825.626027179459,878.648880710385,6
1,878.648880710385,883.077064857665,7
1,883.077064857665,886.029187622519,6
3,481.124892177505,1115.34169285699,8
3,1115.34169285699,1169.86413210205,12
3,1169.86413210205,1396.44325662903,8
3,1396.44325662903,1473.53167506945,12
4,342.139544255913,459.24430225616,7
4,459.24430225616,888.440348322445,5
4,888.440348322445,999.179891402648,7
7,431.268042381819,509.757069749655,12
7,509.757069749655,765.977164354148,8
7,765.977164354148,843.065582794572,12
8,372.076696569508,490.947886895528,7
8,490.947886895528,493.051801768555,5
8,493.051801768555,494.103759205069,7
8,494.103759205069,649.666334615857,5
8,649.666334615857,910.705759397656,1
8,910.705759397656,1061.38038763691,5
8,1061.38038763691,1062.43234507342,7
8,1062.43234507342,1064.53625994645,5
8,1064.53625994645,1183.40745027247,7
10,322.901996667681,415.543377356228,15
10,415.543377356228,458.004010171812,14
10,458.004010171812,469.584182757881,12
10,469.584182757881,492.744527930017,4
10,492.744527930017,579.105368280406,5
10,579.105368280406,809.605301523204,4
10,809.605301523204,891.866155225028,5
10,891.866155225028,915.026500397162,4
10,915.026500397162,926.60667298323,12
10,926.60667298323,969.06730579881,14
10,969.06730579881,1061.70868648735,15
11,750.481492579732,796.608258148616,6
11,796.608258148616,1075.60309088679,2
11,1075.60309088679,1128.62594441772,6
11,1128.62594441772,1133.054128565,7
11,1133.054128565,1136.00625132985,6
12,405.72188392708,422.744960309638,7
12,422.744960309638,468.139830663125,6
12,468.139830663125,1193.44319700159,2
12,1193.44319700159,1238.83806735507,6
12,1238.83806735507,1255.86114373762,7
13,356.946912204806,401.212878038266,15
13,401.212878038266,584.050563002556,13
13,584.050563002556,629.618838320683,12
13,629.618838320683,891.034622914901,8
13,891.034622914901,929.649721416723,12
13,929.649721416723,1112.48740638097,13
13,1112.48740638097,1156.75337221442,15
14,372.076696569509,490.947886895528,7
14,490.947886895528,493.051801768555,5
14,493.051801768555,494.103759205069,7
14,494.103759205069,649.666334615858,5
14,649.666334615858,880.705759397656,1
14,880.705759397656,1031.38038763691,5
14,1031.38038763691,1032.43234507342,7
14,1032.43234507342,1034.53625994645,5
14,1034.53625994645,1153.40745027247,7
15,667.417234018887,759.398588360312,15
15,759.398588360312,801.414762565654,14
15,801.414762565654,818.448346702955,12
15,818.448346702955,835.481930840256,4
15,835.481930840256,929.923767905625,5
15,929.923767905625,1351.12818131963,4
15,1351.12818131963,1437.48902167001,5
15,1437.48902167001,1460.64936684214,4
15,1460.64936684214,1472.22953942821,12
15,1472.22953942821,1514.69017224379,14
15,1514.69017224379,1607.33155293233,15
17,415.857771538531,418.219469750414,6
17,418.219469750414,421.762017068238,7
17,421.762017068238,471.332251301367,6
17,471.332251301367,1643.10189803198,2
17,1643.10189803198,1688.49676838546,6
17,1688.49676838546,1705.51984476801,7
18,418.828060535045,428.29923705307,15
18,428.29923705307,759.200477231464,13
18,759.200477231464,873.220287013579,12
18,873.220287013579,1473.20466233895,8
19,418.828060535045,428.29923705307,15
19,428.29923705307,906.065811373305,13
19,906.065811373305,998.051625910128,15
19,998.051625910128,1049.63500641855,14
19,1049.63500641855,1240.24029422474,6
19,1240.24029422474,1291.33324961887,14
19,1291.33324961887,1293.19039316128,15
19,1293.19039316128,1300.61896733091,14
19,1300.61896733091,1365.61899131518,15
19,1365.61899131518,1371.19042194241,14
19,1371.19042194241,1384.19042673926,15
19,1384.19042673926,1391.61900090889,14
19,1391.61900090889,1402.76186216334,15
20,383.890711124034,395.033572378481,15
20,395.033572378481,402.462146548113,14
20,402.462146548113,415.462151344967,15
20,415.462151344967,421.033581972191,14
20,421.033581972191,486.033605956467,15
20,486.033605956467,493.462180126099,14
20,493.462180126099,495.319323668507,15
20,495.319323668507,549.573724680311,14
20,549.573724680311,771.165691945122,6
20,771.165691945122,822.258647339249,14
20,822.258647339249,824.115790881657,15
20,824.115790881657,831.544365051288,14
20,831.544365051288,896.54438903556,15
20,896.54438903556,902.115819662784,14
20,902.115819662784,915.115824459639,15
20,915.115824459639,922.54439862927,14
20,922.54439862927,933.687259883717,15
21,342.139544255913,459.244302256161,7
21,459.244302256161,744.188954813534,5
21,744.188954813534,917.393600008421,7
21,917.393600008421,997.325533631892,5
21,997.325533631892,1442.48680302963,4
21,1442.48680302963,1530.34770016805,5
21,1530.34770016805,1630.79947684926,7
23,409.378646649907,465.71661200885,7
23,465.71661200885,479.801103348585,6
23,479.801103348585,495.450538170515,2
23,495.450538170515,518.924690403408,6
23,518.924690403408,889.745329998869,2
23,889.745329998869,913.21948223176,6
23,913.21948223176,928.868917053687,2
23,928.868917053687,942.953408393421,6
23,942.953408393421,999.29137375236,7
