route,t0,t1,provider,margin_dB
1,2698.34363810088,2826.43469645049,G01,20.2529737910729
1,2826.43469645049,3108.86527227216,G01,0.574472625218277
1,3108.86527227216,3161.50263026138,R02,0.420362094099602
1,3161.50263026138,3204.30641035175,R01,4.02524455796281
1,3204.30641035175,3269.69568037128,R01,3.61938804937449
1,3269.69568037128,3479.69568037128,R01,4.1760073314011
1,3479.69568037128,3534.18673872089,R01,3.61938804937449
1,3534.18673872089,3912.05845262213,R01,2.49346836753311
1,3912.05845262213,4065.76772264166,G01,20.2529737910729
2,300,358.142644042969,G01,28.6970794428954
2,358.142644042969,561.741233610815,G01,1.95921317757148
2,561.741233610815,606.269538664526,G01,2.11881910856134
2,606.269538664526,718.826061535051,G01,2.247841154143
2,718.826061535051,1002.26953866453,G01,2.247841154143
2,1002.26953866453,1037.89218270749,G01,2.11881910856134
2,1037.89218270749,1241.49077227534,G01,1.95921317757148
2,1241.49077227534,1314.16907732905,G01,28.6970794428954
3,376.761406709938,531.510535941709,G01,18.6107857926076
3,531.510535941709,718.826061535051,G01,3.66235714345244
3,718.826061535051,983.144024126076,R01,4.97184543021159
3,983.144024126076,1079.5229792042,R01,9.16086784080879
3,1079.5229792042,1289.5229792042,R01,10.4128605785245
3,1289.5229792042,1351.71083524261,R01,9.48486424029969
3,1351.71083524261,1497.81010218174,R01,0.876612483215325
3,1497.81010218174,1572.19552942783,R01,3.39306804205241
3,1572.19552942783,1675.54702248065,R01,3.93530081681283
3,1675.54702248065,1752.19552942783,R01,3.93530081681283
3,1752.19552942783,1773.20666333897,R01,3.75797242098834
3,1773.20666333897,1780.20770797601,R02,0.0916164832338779
3,1780.20770797601,1792.6673299855,R02,0.0357860314744443
3,1792.6673299855,1805.12695199499,R02,0.119819475924274
3,1805.12695199499,1830.04619601397,R02,0.122391227202783
3,1830.04619601397,1879.88468405193,R02,0.0924984273137426
3,1879.88468405193,1979.56166012785,G01,0.687588329273126
3,1979.56166012785,2178.91561227968,G01,3.48210182388043
3,2178.91561227968,2302.0902265375,G01,22.1765507746816
4,4392.95432979195,4472.4386852607,G01,25.981341853713
4,4472.4386852607,4648.4589164898,G01,3.16569748822293
4,4648.4589164898,4824.47914771889,R01,2.22059211128949
4,4824.47914771889,4852.19663204812,R01,3.27938085689138
4,4852.19663204812,4890.18459205483,R02,4.84553039002492
4,4890.18459205483,5250.18459205483,R02,5.10847053278178
4,5250.18459205483,5302.74894752358,R02,4.64620749634376
4,5302.74894752358,5425.78900509904,R01,2.68990997062029
4,5425.78900509904,5544.66019542507,G01,1.1832578484869
4,5544.66019542507,5654.78940998177,G01,7.05703034915548
4,5654.78940998177,5754.1448543177,G01,25.981341853713
5,300,348.452203369141,G01,28.6970794428954
5,348.452203369141,552.050792936987,G01,1.95921317757148
5,552.050792936987,587.673436979956,G01,2.11881910856134
5,587.673436979956,718.826061535051,G01,2.247841154143
5,718.826061535051,797.673436979956,G01,2.247841154143
5,797.673436979956,827.35897368243,G01,2.11881910856134
5,827.35897368243,1030.95756325027,G01,1.95921317757148
5,1030.95756325027,1089.10020729324,G01,28.6970794428954
6,300,348.452203369141,G01,28.6970794428954
6,348.452203369141,602.950440328949,G01,1.95921317757148
6,602.950440328949,638.573084371917,G01,2.11881910856134
6,638.573084371917,718.826061535051,G01,2.247841154143
6,718.826061535051,878.573084371917,G01,2.247841154143
6,878.573084371917,908.258621074391,G01,2.11881910856134
6,908.258621074391,1162.7568580342,G01,1.95921317757148
6,1162.7568580342,1220.89950207717,G01,28.6970794428954
7,672.38545286357,718.826061535051,G01,29.0653920081261
7,718.826061535051,775.030964745081,G01,22.7598396645181
7,775.030964745081,1173.73886904877,R01,0.565712286578602
7,1173.73886904877,1207.35348330658,R01,3.69737873568202
7,1207.35348330658,1417.35348330658,R01,3.93530081681283
7,1417.35348330658,1445.36566185476,R01,3.69737873568202
7,1445.36566185476,1675.54702248065,R01,4.33863923995723
7,1675.54702248065,1773.20666333897,G01,5.47010676311211
7,1773.20666333897,1844.07356615844,G01,11.4779930754727
7,1844.07356615844,1967.24818041625,G01,22.1765507746816
