groups,transport,battery,relay,component,gap,units,cv,A_uav,B_uav,C_uav,A_battery,B_battery,C_battery,R_uav,R_component
S001;S002 | S003;S006;S007;S008;S009;S010;S011;S012;S013;S014;S015 | S004;S005,11,18,6,9,14,44,0.48137694361306205,5,3,3,7,6,5,6,9
S001;S002 | S003;S006;S007;S008;S009;S010;S011;S013;S014 | S004;S005;S012;S015,12,19,6,9,16,46,0.33040120500865466,5,4,3,7,7,5,6,9
S001;S002 | S003;S006;S007;S008;S009;S010;S011;S013;S014;S015 | S004;S005;S012,12,19,6,9,16,46,0.3788530654481917,5,4,3,7,7,5,6,9
S001;S002 | S003;S006;S007;S008;S011 | S004;S005;S009;S010;S012;S013;S014;S015,14,19,6,9,18,48,0.19711090050315982,7,4,3,7,7,5,6,9
S001;S002 | S003;S006;S007;S008;S011;S012 | S004;S005;S009;S010;S013;S014;S015,14,18,6,9,17,47,0.1861651100839529,7,4,3,7,6,5,6,9
S001;S002 | S003;S006;S007;S008;S011;S012;S015 | S004;S005;S009;S010;S013;S014,13,18,6,9,16,46,0.19573465933737863,7,3,3,7,6,5,6,9
S001;S002 | S003;S006;S007;S008;S011;S015 | S004;S005;S009;S010;S012;S013;S014,14,19,6,9,18,48,0.17281725222923122,7,4,3,7,7,5,6,9
S001;S002 | S003;S006;S007;S009;S010;S011;S012;S013;S014 | S004;S005;S008;S015,12,19,6,9,16,46,0.27923059789238397,5,4,3,7,7,5,6,9
S001;S002 | S003;S006;S007;S009;S010;S011;S012;S013;S014;S015 | S004;S005;S008,13,19,6,9,17,47,0.3322280175811988,5,5,3,7,7,5,6,9
S001;S002 | S003;S006;S007;S009;S010;S011;S013;S014 | S004;S005;S008;S012;S015,12,18,6,9,15,45,0.20789779492790122,5,4,3,7,6,5,6,9
S001;S002 | S003;S006;S007;S009;S010;S011;S013;S014;S015 | S004;S005;S008;S012,13,18,6,9,16,46,0.2460454196276431,5,5,3,7,6,5,6,9
S001;S002 | S003;S006;S007;S011 | S004;S005;S008;S009;S010;S012;S013;S014;S015,14,18,6,8,16,46,0.3156774762057579,7,4,3,7,6,5,6,8
S001;S002 | S003;S006;S007;S011;S012 | S004;S005;S008;S009;S010;S013;S014;S015,14,19,6,9,18,48,0.2334493526339295,7,4,3,7,7,5,6,9
S001;S002 | S003;S006;S007;S011;S012;S015 | S004;S005;S008;S009;S010;S013;S014,15,19,6,9,19,49,0.19821929130678245,7,5,3,7,7,5,6,9
S001;S002 | S003;S006;S007;S011;S015 | S004;S005;S008;S009;S010;S012;S013;S014,15,18,6,8,17,47,0.26367190061023293,7,5,3,7,6,5,6,8
S001;S002 | S003;S007;S008;S009;S010;S011;S012;S013;S014 | S004;S005;S006;S015,12,18,6,9,15,45,0.38581892910384274,5,4,3,7,6,5,6,9
S001;S002 | S003;S007;S008;S009;S010;S011;S012;S013;S014;S015 | S004;S005;S006,11,18,6,9,14,44,0.4399149846241637,5,3,3,7,6,5,6,9
S001;S002 | S003;S007;S008;S009;S010;S011;S013;S014 | S004;S005;S006;S012;S015,12,19,6,9,16,46,0.2959777219064039,5,4,3,7,7,5,6,9
S001;S002 | S003;S007;S008;S009;S010;S011;S013;S014;S015 | S004;S005;S006;S012,12,19,6,9,16,46,0.3421729156677212,5,4,3,7,7,5,6,9
S001;S002 | S003;S007;S008;S011 | S004;S005;S006;S009;S010;S012;S013;S014;S015,14,19,6,9,18,48,0.22409624509660475,7,4,3,7,7,5,6,9
S001;S002 | S003;S007;S008;S011;S012 | S004;S005;S006;S009;S010;S013;S014;S015,14,18,6,9,17,47,0.19023312047214896,7,4,3,7,6,5,6,9
S001;S002 | S003;S007;S008;S011;S012;S015 | S004;S005;S006;S009;S010;S013;S014,13,18,6,9,16,46,0.1869707255193833,7,3,3,7,6,5,6,9
S001;S002 | S003;S007;S008;S011;S015 | S004;S005;S006;S009;S010;S012;S013;S014,14,19,6,9,18,48,0.18966118418896868,7,4,3,7,7,5,6,9
S001;S002 | S003;S007;S009;S010;S011;S012;S013;S014 | S004;S005;S006;S008;S015,12,19,6,9,16,46,0.24185282019069626,5,4,3,7,7,5,6,9
S001;S002 | S003;S007;S009;S010;S011;S012;S013;S014;S015 | S004;S005;S006;S008,13,19,6,9,17,47,0.2920865588626166,5,5,3,7,7,5,6,9
S001;S002 | S003;S007;S009;S010;S011;S013;S014 | S004;S005;S006;S008;S012;S015,12,18,6,9,15,45,0.1863647146321691,5,4,3,7,6,5,6,9
