strategy,sortie_weight,time_weight,energy_weight,sorties,Cmax_min,energy_kWh,boxes_on_time,validator,tested,feasible,improvements
sortie_priority,0.6,0.2,0.2,22,101.027192065093,67.1368993720636,80,PASS,1065,453,5
time_priority,0.1,0.65,0.25,23,98.4931479718722,67.2902172297666,80,PASS,945,399,0
energy_priority,0.1,0.2,0.7,23,98.1089889817611,66.6152773624177,80,PASS,1012,383,7
balanced,0.333333333333333,0.333333333333333,0.333333333333333,23,98.4931479718722,67.2902172297666,80,PASS,1085,480,0
