route,time_s,lon,lat,alt_m,fixedMargin_dB,segment
1,766.186802366527,109.196822531579,23.0272176421053,511.973175048828,-0.25356523009782,2
1,776.130794837612,109.195821673684,23.0277678815789,511.973175048828,-0.503378264476552,2
1,786.074787308698,109.194820815789,23.0283181210526,511.973175048828,-0.746257873394114,2
1,796.018779779784,109.193819957895,23.0288683605263,511.973175048828,-0.98257585069473,2
1,805.96277225087,109.1928191,23.0294186,511.973175048828,-1.21267506940602,2
1,805.96277225087,109.1928191,23.0294186,511.973175048828,-1.21267506940602,3
1,815.304096539374,109.1928191,23.0294186,488.619864327567,-1.20921751813731,3
1,824.645420827879,109.1928191,23.0294186,465.266553606306,-1.20598648163815,3
1,833.986745116383,109.1928191,23.0294186,441.913242885045,-1.20298246781323,3
1,843.328069404888,109.1928191,23.0294186,418.559932163784,-1.20020594967259,3
1,852.669393693392,109.1928191,23.0294186,395.206621442522,-1.19765736508486,3
1,862.010717981897,109.1928191,23.0294186,371.853310721261,-1.19533711654829,3
1,871.352042270401,109.1928191,23.0294186,348.5,-1.1932455709798,3
1,871.352042270401,109.1928191,23.0294186,348.5,-1.1932455709798,4
1,881.352042270401,109.1928191,23.0294186,348.5,-1.1932455709798,4
1,891.352042270401,109.1928191,23.0294186,348.5,-1.1932455709798,4
1,901.352042270401,109.1928191,23.0294186,348.5,-1.1932455709798,4
1,911.352042270401,109.1928191,23.0294186,348.5,-1.1932455709798,4
1,921.352042270401,109.1928191,23.0294186,348.5,-1.1932455709798,4
1,931.352042270401,109.1928191,23.0294186,348.5,-1.1932455709798,4
1,941.352042270401,109.1928191,23.0294186,348.5,-1.1932455709798,4
1,951.352042270401,109.1928191,23.0294186,348.5,-1.1932455709798,4
1,961.352042270401,109.1928191,23.0294186,348.5,-1.1932455709798,4
1,971.352042270401,109.1928191,23.0294186,348.5,-1.1932455709798,4
1,981.352042270401,109.1928191,23.0294186,348.5,-1.1932455709798,4
1,991.352042270401,109.1928191,23.0294186,348.5,-1.1932455709798,4
1,1001.3520422704,109.1928191,23.0294186,348.5,-1.1932455709798,4
1,1011.3520422704,109.1928191,23.0294186,348.5,-1.1932455709798,4
1,1021.3520422704,109.1928191,23.0294186,348.5,-1.1932455709798,4
1,1031.3520422704,109.1928191,23.0294186,348.5,-1.1932455709798,4
1,1041.3520422704,109.1928191,23.0294186,348.5,-1.1932455709798,4
1,1051.3520422704,109.1928191,23.0294186,348.5,-1.1932455709798,4
1,1061.3520422704,109.1928191,23.0294186,348.5,-1.1932455709798,4
1,1071.3520422704,109.1928191,23.0294186,348.5,-1.1932455709798,4
1,1081.3520422704,109.1928191,23.0294186,348.5,-1.1932455709798,4
1,1081.3520422704,109.1928191,23.0294186,348.5,-1.1932455709798,5
1,1090.43388532867,109.1928191,23.0294186,375.745529174805,-1.19570795195435,5
1,1099.51572838694,109.1928191,23.0294186,402.991058349609,-1.1984815417547,5
1,1108.59757144521,109.1928191,23.0294186,430.236587524414,-1.20156574358919,5
1,1117.67941450347,109.1928191,23.0294186,457.482116699219,-1.20495989487597,5
1,1126.76125756174,109.1928191,23.0294186,484.727645874023,-1.20866326771511,5
1,1135.84310062001,109.1928191,23.0294186,511.973175048828,-1.21267506940602,5
1,1135.84310062001,109.1928191,23.0294186,511.973175048828,-1.21267506940602,6
1,1145.7870930911,109.193819957895,23.0288683605263,511.973175048828,-0.98257585069473,6
1,1155.73108556218,109.194820815789,23.0283181210526,511.973175048828,-0.746257873394114,6
1,1165.67507803327,109.195821673684,23.0277678815789,511.973175048828,-0.503378264476552,6
1,1175.61907050435,109.196822531579,23.0272176421053,511.973175048828,-0.25356523009782,6
3,788.565185715868,109.26983706087,23.0060705173913,591.947387695312,-0.161055581302307,16
3,798.383305024224,109.27098368913,23.0059987826087,591.947387695312,-0.409867263352169,16
3,808.20142433258,109.272130317391,23.0059270478261,591.947387695312,-0.651828040237064,16
3,818.019543640936,109.273276945652,23.0058553130435,591.947387695312,-0.887301034933955,16
3,827.837662949292,109.274423573913,23.0057835782609,591.947387695312,-1.11662155625812,16
3,837.655782257647,109.275570202174,23.0057118434783,591.947387695312,-1.34009983737495,16
3,847.473901566003,109.276716830435,23.0056401086957,591.947387695312,-1.55802344929093,16
3,857.292020874359,109.277863458696,23.005568373913,591.947387695312,-1.77065943397332,16
3,867.110140182715,109.279010086957,23.0054966391304,591.947387695312,-1.97825619480821,16
3,876.928259491071,109.280156715217,23.0054249043478,591.947387695312,-2.18104517645983,16
3,886.746378799427,109.281303343478,23.0053531695652,591.947387695312,-2.37924236136558,16
3,896.564498107782,109.282449971739,23.0052814347826,591.947387695312,-2.57304960614562,16
3,906.382617416138,109.2835966,23.0052097,591.947387695312,-2.76265583785261,16
3,906.382617416138,109.2835966,23.0052097,591.947387695312,-2.76265583785261,17
3,916.020512923951,109.2835966,23.0052097,567.852648925781,-2.75959576895934,17
3,925.658408431763,109.2835966,23.0052097,543.75791015625,-2.75670431545269,17
3,935.296303939576,109.2835966,23.0052097,519.663171386719,-2.75398181572869,17
3,944.934199447388,109.2835966,23.0052097,495.568432617187,-2.75142858889157,17
3,954.572094955201,109.2835966,23.0052097,471.473693847656,-2.74904493462985,17
3,964.209990463013,109.2835966,23.0052097,447.378955078125,-2.74683113309979,17
3,973.847885970826,109.2835966,23.0052097,423.284216308594,-2.74478744481625,17
3,983.485781478638,109.2835966,23.0052097,399.189477539063,-2.74291411055093,17
3,993.123676986451,109.2835966,23.0052097,375.094738769531,-2.74121135123816,17
3,1002.76157249426,109.2835966,23.0052097,351,-2.73967936788839,17
3,1002.76157249426,109.2835966,23.0052097,351,-2.73967936788839,18
3,1012.76157249426,109.2835966,23.0052097,351,-2.73967936788839,18
3,1022.76157249426,109.2835966,23.0052097,351,-2.73967936788839,18
3,1032.76157249426,109.2835966,23.0052097,351,-2.73967936788839,18
3,1042.76157249426,109.2835966,23.0052097,351,-2.73967936788839,18
3,1052.76157249426,109.2835966,23.0052097,351,-2.73967936788839,18
3,1062.76157249426,109.2835966,23.0052097,351,-2.73967936788839,18
3,1072.76157249426,109.2835966,23.0052097,351,-2.73967936788839,18
3,1082.76157249426,109.2835966,23.0052097,351,-2.73967936788839,18
3,1092.76157249426,109.2835966,23.0052097,351,-2.73967936788839,18
3,1102.76157249426,109.2835966,23.0052097,351,-2.73967936788839,18
3,1112.76157249426,109.2835966,23.0052097,351,-2.73967936788839,18
3,1122.76157249426,109.2835966,23.0052097,351,-2.73967936788839,18
3,1132.76157249426,109.2835966,23.0052097,351,-2.73967936788839,18
3,1142.76157249426,109.2835966,23.0052097,351,-2.73967936788839,18
3,1152.76157249426,109.2835966,23.0052097,351,-2.73967936788839,18
3,1162.76157249426,109.2835966,23.0052097,351,-2.73967936788839,18
3,1172.76157249426,109.2835966,23.0052097,351,-2.73967936788839,18
3,1182.76157249426,109.2835966,23.0052097,351,-2.73967936788839,18
3,1192.76157249426,109.2835966,23.0052097,351,-2.73967936788839,18
3,1202.76157249426,109.2835966,23.0052097,351,-2.73967936788839,18
3,1212.76157249426,109.2835966,23.0052097,351,-2.73967936788839,18
3,1212.76157249426,109.2835966,23.0052097,351,-2.73967936788839,19
3,1221.64555192832,109.2835966,23.0052097,377.651938302176,-2.74138396967244,19
3,1230.52953136238,109.2835966,23.0052097,404.303876604353,-2.74329749486564,19
3,1239.41351079644,109.2835966,23.0052097,430.955814906529,-2.74541966712748,19
3,1248.2974902305,109.2835966,23.0052097,457.607753208705,-2.74775018031795,19
3,1257.18146966456,109.2835966,23.0052097,484.259691510881,-2.75028869864437,19
3,1266.06544909862,109.2835966,23.0052097,510.911629813058,-2.7530348568219,19
3,1274.94942853267,109.2835966,23.0052097,537.563568115234,-2.75598826024796,19
3,1274.94942853267,109.2835966,23.0052097,537.563568115234,-2.75598826024796,20
3,1284.68937966195,109.28309128,23.00615578,537.563568115234,-2.66331252395119,20
3,1294.42933079122,109.28258596,23.00710186,537.563568115234,-2.57281131006653,20
3,1304.1692819205,109.28208064,23.00804794,537.563568115234,-2.48466537509708,20
3,1313.90923304977,109.28157532,23.00899402,537.563568115234,-2.39905994024372,20
3,1323.64918417905,109.28107,23.0099401,537.563568115234,-2.31618394096357,20
3,1333.38913530832,109.28056468,23.01088618,537.563568115234,-2.23622915940348,20
3,1343.1290864376,109.28005936,23.01183226,537.563568115234,-2.15938923874801,20
3,1352.86903756687,109.27955404,23.01277834,537.563568115234,-2.08585858105276,20
3,1362.60898869615,109.27904872,23.01372442,537.563568115234,-2.0158311330371,20
3,1372.34893982542,109.2785434,23.0146705,537.563568115234,-1.94949906743196,20
3,1382.0888909547,109.27803808,23.01561658,537.563568115234,-1.8870513710316,20
3,1391.82884208397,109.27753276,23.01656266,537.563568115234,-1.82867235404568,20
3,1401.56879321325,109.27702744,23.01750874,537.563568115234,-1.77454009907913,20
3,1411.30874434252,109.27652212,23.01845482,537.563568115234,-1.72482487142658,20
3,1421.0486954718,109.2760168,23.0194009,537.563568115234,-1.67968751558473,20
3,1421.0486954718,109.2760168,23.0194009,537.563568115234,-1.67968751558473,21
3,1430.34687387756,109.2760168,23.0194009,514.31812210083,-1.67637208370932,21
3,1439.64505228332,109.2760168,23.0194009,491.072676086426,-1.67325810327388,21
3,1448.94323068908,109.2760168,23.0194009,467.827230072021,-1.67034600967176,21
3,1458.24140909485,109.2760168,23.0194009,444.581784057617,-1.66763621072896,21
3,1467.53958750061,109.2760168,23.0194009,421.336338043213,-1.66512908651505,21
3,1476.83776590637,109.2760168,23.0194009,398.090892028809,-1.66282498916641,21
3,1486.13594431213,109.2760168,23.0194009,374.845446014404,-1.6607242427222,21
