reserve_fraction,feasible,total_sorties,total_energy_kWh,total_operation_time_h,total_flight_time_h
0,1,18,59.1312960220528,9.10444881914324,5.35778215247658
0.05,1,18,59.1312960220528,9.10444881914324,5.35778215247658
0.1,1,18,59.1312960220528,9.10444881914324,5.35778215247658
0.15,1,18,59.1312960220528,9.10444881914324,5.35778215247658
0.2,1,18,59.1312960220528,9.10444881914324,5.35778215247658
0.25,1,19,61.0733873760883,9.60157205166081,5.73323871832748
0.3,1,20,67.227589683525,10.162826931227,6.14616026456035
0.35,1,25,75.6075895263504,12.6065454260905,7.9848787594238
0.4,0,NaN,NaN,NaN,NaN
0.45,0,NaN,NaN,NaN,NaN
0.5,0,NaN,NaN,NaN,NaN
