K,任务组,运输架次,t0_s,t1_s,原中继任务,本组通信提供者,margin_dB
2,G1,1,2698.34363810088,2826.43469645049,,G01,20.2529737910729
2,G1,1,2826.43469645049,3108.86527227216,,G01,0.574472625218277
2,G1,1,3108.86527227216,3161.50263026138,Q3-R02,K2-recommended-G1-R_uav-2,0.420362094099602
2,G1,1,3161.50263026138,3204.30641035175,Q3-R03,K2-recommended-G1-R_uav-1,4.02524455796281
2,G1,1,3204.30641035175,3269.69568037128,Q3-R03,K2-recommended-G1-R_uav-1,3.61938804937449
2,G1,1,3269.69568037128,3479.69568037128,Q3-R03,K2-recommended-G1-R_uav-1,4.1760073314011
2,G1,1,3479.69568037128,3534.18673872089,Q3-R03,K2-recommended-G1-R_uav-1,3.61938804937449
2,G1,1,3534.18673872089,3912.05845262213,Q3-R03,K2-recommended-G1-R_uav-1,2.49346836753311
2,G1,1,3912.05845262213,4065.76772264166,,G01,20.2529737910729
2,G1,2,300.0,358.142644042969,,G01,28.6970794428954
2,G1,2,358.142644042969,561.741233610815,,G01,1.95921317757148
2,G1,2,561.741233610815,606.269538664526,,G01,2.11881910856134
2,G1,2,606.269538664526,718.826061535051,,G01,2.247841154143
2,G1,2,718.826061535051,1002.26953866453,,G01,2.247841154143
2,G1,2,1002.26953866453,1037.89218270749,,G01,2.11881910856134
2,G1,2,1037.89218270749,1241.49077227534,,G01,1.95921317757148
2,G1,2,1241.49077227534,1314.16907732905,,G01,28.6970794428954
2,G1,3,376.761406709938,531.510535941709,,G01,18.6107857926076
2,G1,3,531.510535941709,718.826061535051,,G01,3.66235714345244
2,G1,3,718.826061535051,983.144024126076,Q3-R01,K2-recommended-G1-R_uav-1,4.97184543021159
2,G1,3,983.144024126076,1079.5229792042,Q3-R01,K2-recommended-G1-R_uav-1,9.16086784080879
2,G1,3,1079.5229792042,1289.5229792042,Q3-R01,K2-recommended-G1-R_uav-1,10.4128605785245
2,G1,3,1289.5229792042,1351.71083524261,Q3-R01,K2-recommended-G1-R_uav-1,9.48486424029969
2,G1,3,1351.71083524261,1497.81010218174,Q3-R01,K2-recommended-G1-R_uav-1,0.876612483215325
2,G1,3,1497.81010218174,1572.19552942783,Q3-R01,K2-recommended-G1-R_uav-1,3.39306804205241
