gap_units,total_units,work_cv,relay_task_copies,groups,need_A_uav,need_B_uav,need_C_uav,need_A_battery,need_B_battery,need_C_battery,need_R_uav,need_R_component
15,45,0.4181846175182711,10,S001;S002;S003;S004;S005;S007;S008;S011 | S006;S009;S010;S013;S014 | S012;S015,7,3,3,7,5,5,6,9
8,38,0.7835954660734041,7,S001;S002;S003;S004;S005;S007;S008;S011;S012;S015 | S006 | S009;S010;S013;S014,7,2,3,7,4,5,4,6
13,43,0.5247314149317948,9,S001;S002;S003;S004;S005;S007;S008;S011;S012 | S006;S015 | S009;S010;S013;S014,7,3,3,7,4,5,6,8
9,39,0.7495707357592415,7,S001;S002;S003;S004;S005;S007;S008;S011;S012 | S006 | S009;S010;S013;S014;S015,7,3,3,7,4,5,4,6
14,44,0.5504781622867876,9,S001;S002;S003;S004;S005;S007;S008;S011;S015 | S006;S012 | S009;S010;S013;S014,7,3,3,7,5,5,6,8
15,45,0.40649279893296686,10,S001;S002;S003;S004;S005;S007;S008;S011 | S006;S012;S015 | S009;S010;S013;S014,7,3,3,7,5,5,6,9
15,45,0.5134175666952798,9,S001;S002;S003;S004;S005;S007;S008;S011 | S006;S012 | S009;S010;S013;S014;S015,7,4,3,7,5,5,6,8
10,40,0.7474979501480007,7,S001;S002;S003;S004;S005;S007;S008;S011;S015 | S006 | S009;S010;S012;S013;S014,7,3,3,7,5,5,4,6
15,45,0.48460302394284155,9,S001;S002;S003;S004;S005;S007;S008;S011 | S006;S015 | S009;S010;S012;S013;S014,7,4,3,7,5,5,6,8
10,40,0.7186270988977131,7,S001;S002;S003;S004;S005;S007;S008;S011 | S006 | S009;S010;S012;S013;S014;S015,7,3,3,7,5,5,4,6
12,42,0.7693763153165544,8,S001;S002;S003;S004;S005;S007;S009;S010;S011;S012;S013;S014 | S006;S008 | S015,4,5,3,6,6,5,6,7
12,42,0.6161192912675115,10,S001;S002;S003;S004;S005;S007;S009;S010;S011;S013;S014 | S006;S008;S012 | S015,4,5,3,6,5,5,6,8
12,42,0.7960618846181173,8,S001;S002;S003;S004;S005;S007;S009;S010;S011;S013;S014;S015 | S006;S008 | S012,4,5,3,6,6,5,6,7
13,43,0.6849662916440307,9,S001;S002;S003;S004;S005;S007;S009;S010;S011;S013;S014 | S006;S008;S015 | S012,4,5,3,6,6,5,6,8
13,43,0.6541766792322975,9,S001;S002;S003;S004;S005;S007;S009;S010;S011;S013;S014 | S006;S008 | S012;S015,4,5,3,6,6,5,6,8
17,47,0.46763378754580576,10,S001;S002;S003;S004;S005;S007;S011;S012 | S006;S008;S009;S010;S013;S014 | S015,7,5,3,7,6,5,6,8
16,46,0.4516618409664786,10,S001;S002;S003;S004;S005;S007;S011 | S006;S008;S009;S010;S012;S013;S014 | S015,7,5,3,7,5,5,6,8
17,47,0.49636639659682885,10,S001;S002;S003;S004;S005;S007;S011;S015 | S006;S008;S009;S010;S013;S014 | S012,7,5,3,7,6,5,6,8
17,47,0.48176931611999163,10,S001;S002;S003;S004;S005;S007;S011 | S006;S008;S009;S010;S013;S014;S015 | S012,7,5,3,7,6,5,6,8
18,48,0.34236263665618616,11,S001;S002;S003;S004;S005;S007;S011 | S006;S008;S009;S010;S013;S014 | S012;S015,7,5,3,7,6,5,6,9
16,46,0.4794596849682526,9,S001;S002;S003;S004;S005;S007;S011;S012;S015 | S006;S008 | S009;S010;S013;S014,7,4,3,7,6,5,6,8
17,47,0.3560849502289079,10,S001;S002;S003;S004;S005;S007;S011;S012 | S006;S008;S015 | S009;S010;S013;S014,7,4,3,7,6,5,6,9
17,47,0.4414290945175394,9,S001;S002;S003;S004;S005;S007;S011;S012 | S006;S008 | S009;S010;S013;S014;S015,7,5,3,7,6,5,6,8
16,46,0.30874789703012573,11,S001;S002;S003;S004;S005;S007;S011;S015 | S006;S008;S012 | S009;S010;S013;S014,7,4,3,7,5,5,6,9
16,46,0.2591834229597279,11,S001;S002;S003;S004;S005;S007;S011 | S006;S008;S012;S015 | S009;S010;S013;S014,7,4,3,7,5,5,6,9
17,47,0.26288119691658673,11,S001;S002;S003;S004;S005;S007;S011 | S006;S008;S012 | S009;S010;S013;S014;S015,7,5,3,7,5,5,6,9
17,47,0.43912154004889425,9,S001;S002;S003;S004;S005;S007;S011;S015 | S006;S008 | S009;S010;S012;S013;S014,7,5,3,7,6,5,6,8
18,48,0.3109777522692268,10,S001;S002;S003;S004;S005;S007;S011 | S006;S008;S015 | S009;S010;S012;S013;S014,7,5,3,7,6,5,6,9
17,47,0.40740015442900485,9,S001;S002;S003;S004;S005;S007;S011 | S006;S008 | S009;S010;S012;S013;S014;S015,7,5,3,7,6,5,6,8
