gap_units,total_units,work_cv,relay_task_copies,groups,need_A_uav,need_B_uav,need_C_uav,need_A_battery,need_B_battery,need_C_battery,need_R_uav,need_R_component
8,38,0.18708115123500674,8,S001;S002;S003;S006;S007;S008;S011;S012;S015 | S004;S005;S009;S010;S013;S014,7,2,3,7,4,5,4,6
9,39,0.13342026631338277,8,S001;S002;S003;S006;S007;S008;S011;S012 | S004;S005;S009;S010;S013;S014;S015,7,3,3,7,4,5,4,6
10,40,0.12989590506209792,8,S001;S002;S003;S006;S007;S008;S011;S015 | S004;S005;S009;S010;S012;S013;S014,7,3,3,7,5,5,4,6
10,40,0.07623502014047398,8,S001;S002;S003;S006;S007;S008;S011 | S004;S005;S009;S010;S012;S013;S014;S015,7,3,3,7,5,5,4,6
8,38,0.4225781203159233,6,S001;S002;S003;S006;S007;S009;S010;S011;S012;S013;S014;S015 | S004;S005;S008,4,4,3,6,6,5,4,6
8,38,0.36459389701452455,6,S001;S002;S003;S006;S007;S009;S010;S011;S012;S013;S014 | S004;S005;S008;S015,4,4,3,6,6,5,4,6
7,37,0.3017987405226534,7,S001;S002;S003;S006;S007;S009;S010;S011;S013;S014;S015 | S004;S005;S008;S012,4,4,3,6,5,5,4,6
7,37,0.24632799652625206,7,S001;S002;S003;S006;S007;S009;S010;S011;S013;S014 | S004;S005;S008;S012;S015,4,4,3,6,5,5,4,6
12,42,0.03957704138991452,7,S001;S002;S003;S006;S007;S011;S012;S015 | S004;S005;S008;S009;S010;S013;S014,7,4,3,7,6,5,4,6
12,42,0.015893702606486846,7,S001;S002;S003;S006;S007;S011;S012 | S004;S005;S008;S009;S010;S013;S014;S015,7,4,3,7,6,5,4,6
11,41,0.01953693251233721,7,S001;S002;S003;S006;S007;S011;S015 | S004;S005;S008;S009;S010;S012;S013;S014,7,4,3,7,5,5,4,6
11,41,0.0750076765087385,7,S001;S002;S003;S006;S007;S011 | S004;S005;S008;S009;S010;S012;S013;S014;S015,7,4,3,7,5,5,4,6
2,32,0.5213770575689198,7,S001;S002;S003;S007;S008;S009;S010;S011;S012;S013;S014;S015 | S004;S005;S006,4,2,2,6,4,4,4,6
3,33,0.46536750586379566,7,S001;S002;S003;S007;S008;S009;S010;S011;S012;S013;S014 | S004;S005;S006;S015,4,3,2,6,4,4,4,6
4,34,0.40039541146938257,8,S001;S002;S003;S007;S008;S009;S010;S011;S013;S014;S015 | S004;S005;S006;S012,4,3,2,6,5,4,4,6
4,34,0.34673452654775866,8,S001;S002;S003;S007;S008;S009;S010;S011;S013;S014 | S004;S005;S006;S012;S015,4,3,2,6,5,4,4,6
6,36,0.14672929114427133,8,S001;S002;S003;S007;S008;S011;S012;S015 | S004;S005;S006;S009;S010;S013;S014,7,2,2,7,4,4,4,6
7,37,0.09306840622264743,8,S001;S002;S003;S007;S008;S011;S012 | S004;S005;S006;S009;S010;S013;S014;S015,7,3,2,7,4,4,4,6
8,38,0.08954404497136251,8,S001;S002;S003;S007;S008;S011;S015 | S004;S005;S006;S009;S010;S012;S013;S014,7,3,2,7,5,4,4,6
8,38,0.03588316004973862,8,S001;S002;S003;S007;S008;S011 | S004;S005;S006;S009;S010;S012;S013;S014;S015,7,3,2,7,5,4,4,6
6,36,0.37897520043218624,6,S001;S002;S003;S007;S009;S010;S011;S012;S013;S014;S015 | S004;S005;S006;S008,4,4,2,6,6,4,4,6
6,36,0.3209909771307875,6,S001;S002;S003;S007;S009;S010;S011;S012;S013;S014 | S004;S005;S006;S008;S015,4,4,2,6,6,4,4,6
5,35,0.26008590436385576,7,S001;S002;S003;S007;S009;S010;S011;S013;S014;S015 | S004;S005;S006;S008;S012,4,4,2,6,5,4,4,6
5,35,0.20461516036745453,7,S001;S002;S003;S007;S009;S010;S011;S013;S014 | S004;S005;S006;S008;S012;S015,4,4,2,6,5,4,4,6
10,40,0.0021357947688828106,7,S001;S002;S003;S007;S011;S012;S015 | S004;S005;S006;S008;S009;S010;S013;S014,7,4,2,7,6,4,4,6
10,40,0.05760653876528425,7,S001;S002;S003;S007;S011;S012 | S004;S005;S006;S008;S009;S010;S013;S014;S015,7,4,2,7,6,4,4,6
9,39,0.06124976867113475,7,S001;S002;S003;S007;S011;S015 | S004;S005;S006;S008;S009;S010;S012;S013;S014,7,4,2,7,5,4,4,6
9,39,0.11672051266753611,7,S001;S002;S003;S007;S011 | S004;S005;S006;S008;S009;S010;S012;S013;S014;S015,7,4,2,7,5,4,4,6
