K,运输机,电池,中继机,能源组件,总件数,总缺口,工作量CV,最大最小工作量比,运输架次,中继架次,新增中继架次,总能耗kWh,最晚返航min
2,9,15,2,3,29,2,0.9504421400153372,39.356867722273606,23,4,0,68.61074168051408,98.88470301354853
3,9,15,4,6,34,4,0.9381758772249565,36.12177119876928,23,7,3,70.75318008785644,98.88470301354853
