K,group,resource_type,q3_task,local_resource,start_s,end_s
3,2,R_component,Q3-R01,K3-G2-R-B01,36.8737891100433,3028.1876287358
3,2,R_component,Q3-R02,K3-G2-R-B02,994.581657071136,4458.11344537189
3,2,R_component,Q3-R03,K3-G2-R-B03,2584.75781178123,6761.39603194753
3,3,B_uav,Q2-008,K3-G3-U05,4134.060655679513,5933.082180812911
3,3,B_uav,Q2-013,K3-G3-U06,0.0,2376.295292666282
3,3,B_uav,Q2-014,K3-G3-U06,4331.250745152591,5933.082180812912
3,3,C_uav,Q2-004,K3-G3-U08,3729.2945016612516,5754.144854317702
3,3,C_uav,Q2-016,K3-G3-U08,0.0,1381.553867961642
3,3,C_uav,Q2-021,K3-G3-U08,1381.553867961642,3729.2945016612516
3,3,B_battery,Q2-008,K3-G3-B-B02,4361.25074515259,7888.990150222416
3,3,B_battery,Q2-013,K3-G3-B-B02,843.5549419222447,4235.651830299943
3,3,B_battery,Q2-014,K3-G3-B-B03,4391.250745152592,7797.221685964929
3,3,C_battery,Q2-004,K3-G3-C-B02,4392.954329791954,7705.317949824424
3,3,C_battery,Q2-016,K3-G3-C-B02,300.0,2918.494572578833
3,3,C_battery,Q2-021,K3-G3-C-B04,1591.553867961642,6292.524174792512
3,3,R_uav,Q3-R01,K3-G3-R01,36.8737891100433,2584.75781178123
3,3,R_uav,Q3-R02,K3-G3-R02,994.581657071136,3955.72613275585
3,3,R_uav,Q3-R03,K3-G3-R01,2584.75781178123,6184.72738135952
3,3,R_uav,Q3-R04,K3-G3-R02,4168.85351386678,6217.87586819412
3,3,R_component,Q3-R01,K3-G3-R-B01,36.8737891100433,3028.1876287358
3,3,R_component,Q3-R02,K3-G3-R-B02,994.581657071136,4458.11344537189
3,3,R_component,Q3-R03,K3-G3-R-B03,2584.75781178123,6761.39603194753
3,3,R_component,Q3-R04,K3-G3-R-B04,4168.85351386678,6609.1855079729
