方法,架次数,总运输能耗_kWh,累计作业时间_s,搜索是否完整
FFD baseline,52,112.63554698960822,89286.45153814131,False
local search,52,112.159064059838,89286.45153814131,False
MILP minimum-sortie,18,63.58226638793676,33010.7612580511,True
MILP + local search,18,63.05857757030072,33010.7612580511,False
